commune	N	S	R	G	A	M
AGUA_FRIA_ALTA	CANELA	71	0.422535211267606	0.985915492957746	0.0414486921529189	0.661971830985915	0.0422535211267606
AGUA_FRIA_BAJA	CANELA	180	0.283333333333333	1.00555555555556	0.00549416820134496	0.677777777777778	0
ALCONES	OVALLE	248	0.209677419354839	0.790322580645161	0.296222710387042	0.439516129032258	0.310483870967742
ALGARROBAL_Y_DESPENSA	VICUÑA	14	0.571428571428571	1	0	0.571428571428571	0
ALGARROBO_DE_HORNILLOS	OVALLE	40	0.375	1	0	0.725	0
ALHUEMILLA_LAS_PALMAS	CANELA	46	0.304347826086957	1	0	0.804347826086957	0
ALVAREZ_DE_VALLE_HERMOSO	COMBARBALA	38	0.394736842105263	0.710526315789474	0.322612085769981	0.447368421052632	0.368421052631579
ANGOSTURA_DE_GALVEZ	CANELA	37	0.459459459459459	0.810810810810811	0.182882882882884	0.567567567567568	0.216216216216216
ATELCURA	CANELA	71	0.450704225352113	1	0	0.676056338028169	0
ATUHUAICO	MONTE PATRIA	31	0.483870967741935	1.04032258064516	0.276819204801201	0.516129032258065	0.225806451612903
BARRAZA	OVALLE	130	0.284615384615385	0.684615384615385	0.340125324114084	0.569230769230769	0.4
BLAS_Y_BULRREME	RIO HURTADO	53	0.471698113207547	0.830188679245283	0.202401372212693	0.641509433962264	0.207547169811321
BUENOS_AIRES_DE_PUNILLA	OVALLE	37	0.432432432432432	0.675675675675676	0.351591591591593	0.540540540540541	0.405405405405405
CABRA_CORRAL	CANELA	88	0.272727272727273	0.898989898989899	0.0995914198161394	0.602272727272727	0.113636363636364
CALDERA_Y_DAMAS	ANDACOLLO	84	0.428571428571429	1.02380952380952	0.0227021040974513	0.666666666666667	0
CANELA_ALTA	CANELA	590	0.142372881355932	0.974576271186441	0.055158732498171	0.647457627118644	0.0525423728813559
CANELA_BAJA	CANELA	727	0.15130674002751	0.918844566712517	0.112647012257014	0.606602475928473	0.112792297111417
CANELILLA_CANELA	CANELA	79	0.40506329113924	1.0126582278481	0.0445147679324904	0.645569620253165	0.0253164556962025
CANELILLA_OVALLE	OVALLE	107	0.336448598130841	0.560747663551402	0.490012980269992	0.579439252336449	0.598130841121495
CARCAMO	MONTE PATRIA	24	0.5	1	0	0.875	0
CARRIZAL_Y_LAGUNA_DE_SERON	RIO HURTADO	24	0.666666666666667	1.04166666666667	0.0383333333333331	0.708333333333333	0
CARRIZO,_MENDOZA_Y_ROMERO	RIO HURTADO	48	0.4375	1.02083333333333	0.0199829931972797	0.5625	0
CASTILLO_MAL_PASO	COMBARBALA	216	0.212962962962963	0.972222222222222	0.253292181069952	0.560185185185185	0.175925925925926
CERRO_BLANCO	OVALLE	51	0.254901960784314	1.03921568627451	0.226045135035145	0.549019607843137	0.137254901960784
CERRO_GIGANTE	RIO HURTADO	14	0.642857142857143	1	0	0.642857142857143	0
CHACARILLAS	MONTE PATRIA	174	0.419540229885057	1.21264367816092	0.400228795554831	0.580459770114943	0.206896551724138
CHALINGA	SALAMANCA	547	0.292504570383912	0.904936014625229	0.104647941942261	0.561243144424132	0.118829981718464
CHANCHOQUI	PAIHUANO	10	0.4	1	0	0.4	0
CHAPE_Y_CHACAY	RIO HURTADO	85	0.223529411764706	0.350980392156863	0.447006243838317	0.576470588235294	0.811764705882353
CHELLES	MONTE PATRIA	20	0.1	0.8	0.238541666666667	0.45	0.25
CHILECITO_Y_CHUAPA	MONTE PATRIA	117	0.376068376068376	0.948717948717949	0.100677600677599	0.606837606837607	0.094017094017094
COIPO_Y_CUYUNCAVI	MONTE PATRIA	19	0.526315789473684	1	0	0.578947368421053	0
COLLIGUAY	MONTE PATRIA	59	0.457627118644068	1.03389830508475	0.0625173659349798	0.525423728813559	0.0338983050847458
CORDILLERA_DE_CARRIZAL	MONTE PATRIA	19	0.421052631578947	1.10526315789474	0.0852130325814535	0.631578947368421	0
CUARTO_CAJON	OVALLE	19	0.473684210526316	1.15789473684211	0.114832535885167	0.473684210526316	0
CUESTA_EL_MANZANO	COQUIMBO	122	0.409836065573771	1.02459016393443	0.023409836065575	0.647540983606557	0
CUZCUZ	ILLAPEL	76	0.552631578947368	1	0	0.75	0
DAIN_Y_CORTADERA	RIO HURTADO	123	0.317073170731707	0.951219512195122	0.0799110555208173	0.585365853658537	0.0813008130081301
DE_ARAYA	MONTE PATRIA	11	1	1	4.44089209850063e-16	0.636363636363636	0
DE_ORREGO	COMBARBALA	21	0.285714285714286	1	0	0.619047619047619	0
DIAZ_Y_OCARANZA	COMBARBALA	41	0.414634146341463	0.926829268292683	0.0811296534017973	0.682926829268293	0.0975609756097561
DOS_RIOS	MONTE PATRIA	29	0.758620689655172	1	0	0.551724137931034	0
EL_ALMENDRO	CANELA	10	0.6	1	0	0.9	0
EL_ALTAR	PUNITAQUI	131	0.33587786259542	1.04580152671756	0.0779146003974702	0.67175572519084	0.0305343511450382
EL_ATAJO	RIO HURTADO	11	0.545454545454545	0.727272727272727	0.277272727272727	0.272727272727273	0.363636363636364
EL_CHACAY	LA SERENA	54	0.407407407407407	0.759259259259259	0.25880758807588	0.574074074074074	0.314814814814815
EL_CUYANO	MONTE PATRIA	21	0.619047619047619	0.952380952380952	0.0452380952380951	0.571428571428571	0.0952380952380952
EL_DIVISADERO	PUNITAQUI	76	0.381578947368421	0.881578947368421	0.141987431264727	0.539473684210526	0.157894736842105
EL_DURAZNO	OVALLE	66	0.303030303030303	1.07575757575758	0.0650874946649616	0.53030303030303	0
EL_ESPINAL	OVALLE	67	0.358208955223881	0.267725924225029	0.281355246572151	0.567164179104478	1
EL_ESPINO	COMBARBALA	79	0.430379746835443	0.987341772151899	0.0663420967218435	0.670886075949367	0.0506329113924051
EL_MACANO	MONTE PATRIA	80	0.3125	0.8	0.289718191964287	0.625	0.3125
EL_OLIVO	OVALLE	17	0.823529411764706	0.764705882352941	0.208144796380091	0.411764705882353	0.352941176470588
EL_PANGUE	CANELA	25	0.44	1	0	0.48	0
EL_PERAL_OJO_DE_AGUA	OVALLE	19	0.736842105263158	1.05263157894737	0.0473684210526315	0.578947368421053	0
EL_POTRERO_ALTO	VICUÑA	45	0.377777777777778	1	0	0.688888888888889	0
EL_POTRERO_DE_HUATULAME	MONTE PATRIA	54	0.425925925925926	0.570061728395062	0.503913844014908	0.592592592592593	0.555555555555556
EL_ROMERAL	RIO HURTADO	71	0.0985915492957746	0.915492957746479	0.192993860599493	0.563380281690141	0.154929577464789
EL_TOME	MONTE PATRIA	105	0.314285714285714	1.00952380952381	0.266666666666666	0.6	0.161904761904762
ESTERO_DERECHO	PAIHUANO	386	0.269430051813472	1.01295336787565	0.0126220796946939	0.66839378238342	0
FERNANDEZ_ANGEL_Y_OTROS	COMBARBALA	15	0.666666666666667	1	0	0.733333333333333	0
FERNANDEZ_Y_VELIZ	COMBARBALA	276	0.304347826086957	0.891304347826087	0.134352539177556	0.503623188405797	0.155797101449275
FERNANDO_ALVAREZ	OVALLE	50	0.28	1.11166666666667	0.373403298350825	0.72	0.28
