Comuna,Provincia,Region,Area,Poblacion,Densidad,IDH
Arica,Arica,Arica y Parinacota,4799.4,210936,4799.4,0.736
Camarones,Arica,Arica y Parinacota,3927,679,0.3,0.751
Putre,Parinacota,Arica y Parinacota,5902.5,1462,0.2,0.707
General Lagos,Parinacota,Arica y Parinacota,2244.4,739,0.5,0.67
Iquique,Iquique,Tarapacá,2242.1,184953,82.4,0.766
Alto Hospicio,Iquique,Tarapacá,572.9,94455,87.6,NA
Pozo Almonte,Tamarugal,Tarapacá,13765.8,11519,0.7,0.722
Camiña,Tamarugal,Tarapacá,2200.2,1156,0.5,0.619
Colchane,Tamarugal,Tarapacá,4015.6,1384,0.4,0.603
Huara,Tamarugal,Tarapacá,10474.6,2360,0.2,0.676
Pica,Tamarugal,Tarapacá,8934.3,4194,0.6,0.793
Antofagasta,Antofagasta,Antofagasta,30718.1,348669,9.7,0.734
Mejillones,Antofagasta,Antofagasta,3803.9,9752,2.2,0.73
Sierra Gorda,Antofagasta,Antofagasta,12886,1206,0.1,0.789
Taltal,Antofagasta,Antofagasta,20405.1,13493,0.5,0.716
Calama,El Loa,Antofagasta,15596.9,147886,9.1,0.757
Ollagüe,El Loa,Antofagasta,2964,332,0.1,0.679
San Pedro de Atacama,El Loa,Antofagasta,23439,5605,0.2,0.711
Tocopilla,Tocopilla,Antofagasta,4038.8,20091,5.9,0.69
María Elena,Tocopilla,Antofagasta,12197,4593,0.6,0.779
Copiapó,Copiapó,Atacama,16681.3,158261,11.9,0.725
Caldera,Copiapó,Atacama,4666.6,16150,2.9,0.741
Tierra Amarilla,Copiapó,Atacama,11191,13912,1.1,0.686
Chañaral,Chañaral,Atacama,5772,14146,2.2,0.714
Diego de Almagro,Chañaral,Atacama,18664,16452,1,0.789
Vallenar,Huasco,Atacama,7084,52099,6.7,0.731
Alto del Carmen,Huasco,Atacama,5939,5488,0.8,0.664
Freirina,Huasco,Atacama,3207.9,6531,1.7,0.693
Huasco,Huasco,Atacama,1601.4,9015,5.6,0.695
La Serena,Elqui,Coquimbo,1892.8,211275,132.5,0.781
Coquimbo,Elqui,Coquimbo,1429,202441,141.6,0.731
Andacollo,Elqui,Coquimbo,310,11116,33.1,0.675
La Higuera,Elqui,Coquimbo,4158.2,4331,0.8,0.67
Paihuano,Elqui,Coquimbo,1495,4252,2.8,0.734
Vicuña,Elqui,Coquimbo,7610,26029,3.2,0.716
Illapel,Choapa,Coquimbo,2629,30598,11.6,0.667
Canela,Choapa,Coquimbo,2196.6,9182,4.2,0.644
Los Vilos,Choapa,Coquimbo,1823.8,18483,9.6,0.675
Salamanca,Choapa,Coquimbo,3445,25671,7.1,0.676
Ovalle,Limarí,Coquimbo,3835,112956,28.1,0.725
Combarbalá,Limarí,Coquimbo,2257.5,13818,7.7,0.661
Monte Patria,Limarí,Coquimbo,4366.9,30137,6.9,0.653
Punitaqui,Limarí,Coquimbo,1339,10418,7.1,0.653
Río Hurtado,Limarí,Coquimbo,2180,4149,1.9,0.653
Valparaíso,Valparaíso,Valparaíso,401.6,308137,687.2,0.701
