Administrative Division 2 (Commune),Id,Community,Area (Hectares)(OTCA),Houses (Vergara 2005),Registred Commoners (OTCA),Population Size (Vergara 2005),Male (Vergara 2005),Female (Vergara 2005)
La Higuera,1,Los Choros,68895,145,184,232,136,96
La Higuera,2,Quebrada Honda,8444,54,59,54,31,23
La Serena,3,El Chacay,10236,44,41,99,55,44
La Serena,4,Olla de Caldera,122600,185,216,229,133,96
La Serena,5,Quebrada de Talca,8592,292,97,740,372,368
La Serena,6,Las Rojas de Cutun,4005,252,39,680,329,351
Vicuña,7,Bañados de Huanta,2977,2,30,6,3,3
Vicuña,8,El Potrero Alto,3975,1,18,0,0,0
Vicuña,9,Los Algodones,5430,5,28,5,3,2
Vicuña,10,Las Trancas de Puclaro,4485,2,18,2,1,1
Vicuña,11,La Polvada,255,900,136,2404,1210,1194
Vicuña,12,Gualliguaica,447,114,62,335,174,161
Vicuña,13,San Isidro,4051,4,21,9,5,4
Vicuña,14,Uchumi-Diaguitas,12845,11,35,5,4,1
Vicuña,15,Quebrada Los Loros,2677,331,22,603,306,297
Vicuña,16,Algarrobal y Despensa,4031,52,250,114,65,49
Vicuña,17,La Plata,4910,1,31,2,2,0
Vicuña,18,Varillar,3318,423,21,1217,629,588
Vicuña,19,Vallecito y Rio Seco,66340,6,19,0,0,0
Coquimbo,20,La Herradura,4192,40,137,70,38,32
Coquimbo,21,Totoralillo,1192,81,216,164,88,76
Coquimbo,22,Majada Blanca,1820,18,24,58,35,23
Coquimbo,23,Quitallaco,5515,21,25,37,21,16
Coquimbo,24,Cuesta el Manzano,18182,356,125,768,394,374
Andacollo,25,Caldera y Damas,16765,64,67,155,88,67
Andacollo,26,Jarilla y Azogue,5800,16,28,40,22,18
Paihuano,27,Chanchoqui,1590,1,10,1,1,0
Paihuano,28,Quebrada de Paihuano y San Andrés,22495,115,39,250,139,111
Paihuano,29,Estero Derecho,51570,2,350,7,5,2
Ovalle,30,Higueritas Unidas,4743,44,41,106,62,44
Ovalle,31,La Verdiona,2830,12,32,13,7,6
Ovalle,32,Romeralcillo,3425,22,50,72,41,31
Ovalle,33,Lagunillas Galleguillos del Valle,968,2,26,5,2,3
Ovalle,34,El Olivo,1021,32,13,82,45,37
